1,1000,898,70,32,0
2,1000,836,102,61,1
3,1000,780,113,106,1
4,1000,727,109,161,3
5,1000,679,110,208,3
6,1000,636,94,267,3
7,1000,604,80,312,4
8,1000,561,81,353,5
9,1000,521,84,390,5
10,1000,484,84,427,5
11,1000,449,79,467,5
12,1000,423,75,497,5
13,1000,398,70,526,6
14,1000,364,70,560,6
15,1000,336,71,587,6
16,1000,311,62,621,6
17,1000,287,55,652,6
18,1000,269,46,678,7
19,1000,248,46,699,7
20,1000,233,45,715,7
21,1000,219,36,738,7
22,1000,203,37,753,7
23,1000,182,43,768,7
24,1000,173,30,790,7
25,1000,167,23,803,7
26,1000,161,19,812,8
27,1000,153,16,822,9
28,1000,140,22,829,9
29,1000,134,19,838,9
30,1000,126,21,843,10
